id,question,gt,predicted,sas,model
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician's assistant in the UK is £15,000.",0.85,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician's assistant in the UK is £16,000.",0.85,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-no-run-identifier-2021-09-08-15-04-28
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician assistant in the UK is £20,000.",0.84,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-21-49-44
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician assistant in the UK is around £60,000 a year.",0.85,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-07-57
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician assistant in the UK is £60,000.",0.85,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-07-49
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician's assistant in the UK is £28,000.",0.85,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-04-10-39-42
1_4,What's the average starting salary for a physician's assistant in the UK?,"Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships).","The average starting salary for a physician assistant in the UK is £20,000 a year.",0.84,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-09-57
1_9,Do nurse practitioners or physician assistants make more?,"According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.","On average, nurse practitioners and physician assistants make more than nurse practitioners. The BLS reports that the median annual wage for nurse practitioners was $109,820 as of May 2019.",0.9,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-04-10-39-42
1_9,Do nurse practitioners or physician assistants make more?,"According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.","The average salary for a nurse practitioner is $65,000. The average salary for a physician's assistant is $30,000.",0.87,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
1_9,Do nurse practitioners or physician assistants make more?,"According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.","the bls reports that the median annual wage for nurse practitioners was $ 109, 820 as of may 2019, while the median annual wage for physician assistants reached $ 112, 260 during the same month",0.95,rali-scai-qrecc21-test-dataset-rewritten-2021-07-20-rali-qa-no-run-identifier-2021-09-09-13-01-07
1_9,Do nurse practitioners or physician assistants make more?,"According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.","The BLS reports that the median annual wage for nurse practitioners was $109,820 as of May 2019 while the median annual wage for physician assistants reached $112,260 during the same month.",0.94,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-06-09-21-43
1_10,Is a physician assistants above a nurse practitioner?,"Physician Assistants are licensed medical professionals who may work independently of the lead physician, while Nurse Practitioners are well trained, but not necessarily licensed caregivers, who must work under the close supervision of the attending doctor.","A physician assistant is a person who has successfully completed an accredited education program for physician assistant, is licensed by the state and is practicing within the scope of that license.",0.81,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
1_10,Is a physician assistants above a nurse practitioner?,"Physician Assistants are licensed medical professionals who may work independently of the lead physician, while Nurse Practitioners are well trained, but not necessarily licensed caregivers, who must work under the close supervision of the attending doctor.",A physician's assistant is a nurse practitioner who has completed a one-year post-graduate program in nursing.,0.8,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
1_10,Is a physician assistants above a nurse practitioner?,"Physician Assistants are licensed medical professionals who may work independently of the lead physician, while Nurse Practitioners are well trained, but not necessarily licensed caregivers, who must work under the close supervision of the attending doctor.",physician assistants are licensed medical professionals who may work independently of the lead physician,0.93,rali-scai-qrecc21-test-dataset-rewritten-2021-07-20-rali-qa-no-run-identifier-2021-09-09-13-01-07
1_10,Is a physician assistants above a nurse practitioner?,"Physician Assistants are licensed medical professionals who may work independently of the lead physician, while Nurse Practitioners are well trained, but not necessarily licensed caregivers, who must work under the close supervision of the attending doctor.",A physician assistant is a medical assistant who is not a nurse practitioner.,0.84,ultron-scai-qrecc21-test-dataset-2021-07-20-ultron-no-run-identifier-2021-09-04-17-16-58
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",The Boer goat is a breed of goat that was developed in South Africa in the early 1900s and is a popular breed for meat production.,0.93,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer Goat is a breed of goat that was developed in South Africa in the early 1900s for meat production.,0.94,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-no-run-identifier-2021-09-08-15-04-28
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a breed of goats from South Africa.,0.87,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-21-49-44
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from,0.98,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a type of cross breed of goats native to South Africa.,0.86,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-07-49
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a type of goat native to South Africa.,0.88,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-06-44
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a breed of goat that originated in South Africa.,0.91,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a type of goat that was introduced to the United States by Europeans in the late 19th and early 20th centuries.,0.83,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-06-09-21-43
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a cross between the Boer goat and the American Boer goat.,0.87,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-08-40
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats were a Boer livestock species that thrived in South Africa during the Boer War.,0.81,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-15-40-34
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a cross between the Boer goat and the Eurasian goat.,0.86,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-15-19-36-31
2_2,Tell me about boer goats,"The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",Boer goats are a type of goat that originated in South Africa between the late 18th and early 19th centuries.,0.9,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-04-10-38-07
2_4,Are angora goats good for meat?,"Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa.",Angora goats are good for meat.,0.84,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
2_4,Are angora goats good for meat?,"Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa.","According to the United States Department of Agriculture, angora goats are good for meat production in the United States.",0.82,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-09-57
2_4,Are angora goats good for meat?,"Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa.","yes, angora goats are good for meat",0.83,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-BART-large-top1BM25-2021-09-13-17-47-43
2_6,What are pygmy goats used for?,"While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk.","Modern pygmy goats are kept mostly as pets, but they do have some potential for meat.",0.8,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
2_6,What are pygmy goats used for?,"While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk.","While Pygmies are most commonly kept as pets or used as food processors, they can also be used for milk production. Pygmies are also used for milk production, but",0.82,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
2_6,What are pygmy goats used for?,"While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk.",The pygmy goat is used as a source of meat for livestock.,0.83,ultron-scai-qrecc21-test-dataset-2021-07-20-ultron-no-run-identifier-2021-09-04-17-16-58
2_6,What are pygmy goats used for?,"While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk.",Pygmy goats are used for dairy research.,0.84,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-06-09-21-43
3_1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Atrial fibrillation is the most common type of irregular heartbeat.,0.91,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
3_1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.","Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract",0.96,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
3_1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",Atrial fibrillation is a condition in which the upper two chambers of the heart beat quickly and irregularly.,0.93,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-07-57
3_1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",The most common types of irregular heart beat are atrial fibrillation and atrial fibrillation.,0.82,ultron-scai-qrecc21-test-dataset-2021-07-20-ultron-no-run-identifier-2021-09-04-17-16-58
3_1,Tell me about the types of irregular heart beat.,"Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",atrial fibrillation is a condition in which the upper two chambers of the heart,0.88,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-BART-large-top1BM25-2021-09-13-17-47-43
3_4,What is atrial flutter?,"Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.",Atrial flutter is a condition in which the heart beats irregularly.,0.91,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
3_4,What is atrial flutter?,"Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.","Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers",0.99,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
3_4,What is atrial flutter?,"Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.","Atrial flutter is a problem with way your heart beats. Such problems, whether in the rhythm or speed of the heartbeat, are known as arrhythmias.",0.85,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-07-57
3_4,What is atrial flutter?,"Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.",Atrial flutter is a problem with way your heart beats.,0.81,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-07-49
3_6,What's the difference between flutter and fibrillation?,"In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat.",Atrial flutter and atrial fibrillation are both abnormal heart rhythms.,0.85,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-no-run-identifier-2021-09-08-15-04-28
3_6,What's the difference between flutter and fibrillation?,"In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat.","Atrial fibrillation is an abnormal heart rhythm. Atrial flutter is less common, but has symptoms (feeling faint, tiredness, palpitations, shortness of breath or dizziness).",0.82,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-21-49-44
3_6,What's the difference between flutter and fibrillation?,"In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat.",Atrial flutter and atrial fibrillation are both abnormal heart rhythms. They occur when there is an issue with the electrical signals and pathways in your heart.,0.83,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-05-06
3_7,How does atrial fibrillation affect electrocardiography?,"The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure.","Atrial fibrillation can occur when the heart's electrical activity is abnormally low, causing the heart to beat abnormally.",0.82,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-21-49-44
3_7,How does atrial fibrillation affect electrocardiography?,"The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure.",Atrial fibrillation is an abnormal heart rhythm that can occur at rest or during exercise. This can lead to arrhythmias such as bradycardia and supraventricular tachycardia.,0.81,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-04-10-39-42
3_7,How does atrial fibrillation affect electrocardiography?,"The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure.",Atrial fibrillation is an abnormal heart rhythm that occurs when the upper chambers of the heart do not contract properly.,0.81,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-06-09-21-43
4_1,What was the neolithic revolution?,"The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization.","The Neolithic Revolution or Neolithic Demographic Transition, sometimes called the Agricultural Revolution, was the wide-scale transition of many human cultures from a lifestyle of hunting and gathering to one of agriculture and settlement.",0.91,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
4_1,What was the neolithic revolution?,"The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization.",The Neolithic Revolution or Neolithic Demographic Transition was the wide-scale transition of many human cultures from a lifestyle of hunting and gathering to one of agriculture and settlement.,0.89,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-no-run-identifier-2021-09-08-15-04-28
4_1,What was the neolithic revolution?,"The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization.",The neolithic revolution was a period in the history of humankind during the late 18th and early 19th centuries.,0.8,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-21-49-44
4_1,What was the neolithic revolution?,"The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization.",The neolithic revolution was the transition from hunting and gathering to agriculture.,0.91,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
4_1,What was the neolithic revolution?,"The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization.",The Neolithic Revolution was a period in the history of agriculture.,0.88,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-09-57
5_9,What's a recipe for smoked turkey soup?,"Place the turkey legs, water, bouillon cubes, onion, celery, carrots, garlic, bay leaves, garlic powder, onion powder, black pepper, thyme, marjoram, and curry powder in a soup pot; bring to a boil. Reduce heat and simmer for 30 minutes.","Place the turkey legs, water, bouillon cubes, onion, celery, carrots, garlic, bay leaves, garlic powder, onion",0.88,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
5_9,What's a recipe for smoked turkey soup?,"Place the turkey legs, water, bouillon cubes, onion, celery, carrots, garlic, bay leaves, garlic powder, onion powder, black pepper, thyme, marjoram, and curry powder in a soup pot; bring to a boil. Reduce heat and simmer for 30 minutes.","A recipe for smoked turkey soup is to use smoked turkey, onions, carrots, celery, and potatoes.",0.81,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
5_9,What's a recipe for smoked turkey soup?,"Place the turkey legs, water, bouillon cubes, onion, celery, carrots, garlic, bay leaves, garlic powder, onion powder, black pepper, thyme, marjoram, and curry powder in a soup pot; bring to a boil. Reduce heat and simmer for 30 minutes.",slowly simmered to tenderness with smoked turkey legs and warm spices,0.81,rali-scai-qrecc21-test-dataset-rewritten-2021-07-20-rali-qa-no-run-identifier-2021-09-09-13-01-07
6_3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,The U.S. Supreme Court case Marbury v. Madison established the principle of judicial review.,0.93,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
6_3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional.,0.95,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
6_3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Marbury v. Madison was the first case decided by the Supreme Court of the United States.,0.82,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-05-06
6_3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,Marbury vs Madison established that the Supreme Court has the power to decide cases.,0.84,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
6_3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,"[ 77 ] marbury v. madison was the first case in which the supreme court struck down a federal law as unconstitutional and it is most significant for its role in establishing the supreme court's power of judicial review,",0.89,rali-scai-qrecc21-test-dataset-rewritten-2021-07-20-rali-qa-no-run-identifier-2021-09-09-13-01-07
6_3,What did the Marbury vs Madison case establish?,The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.,"The Marbury vs Madison case established the Supreme Court's power of judicial review, or the power to invalidate laws as unconstitutional.",0.91,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-06-09-21-43
6_5,What was the implication of Roe vs Wade?,"Roe rendered these laws unconstitutional, making abortion services vastly safer and more accessible to women throughout the country. The decision also set a legal precedent that affected more than 30 subsequent Supreme Court cases involving restrictions on access to abortion.","Roe rendered these laws unconstitutional, making abortion services vastly safer and more accessible to women throughout the country. The decision also set a",0.97,torch-scai-qrecc21-test-dataset-2021-07-20-torch-usi_T5_raw2-2021-09-20-05-42-29
